t,V,theta,vX,vY,X,Y
538805.839,40000.0,51.199999999999875,25064.15245457849,31173.51859725891,-15071492000.0,0.0
538805.9645957666,40000.00877803981,51.19998436109943,25064.166463754005,31173.518597047896,-15070862409.535381,783052.3935840648
538806.0901915333,40000.0175564871,51.19996872052039,25064.180474100012,31173.518596414804,-15070232818.71885,1566104.7871575288
538806.2157873,40000.026335341834,51.19995307826251,25064.194485616616,31173.518595359525,-15069603227.550373,2349157.180709788
538806.3413830666,40000.03511460402,51.1999374343256,25064.208498303924,31173.518593881952,-15068973636.029926,3132209.5742302365
538806.4669788333,40000.04389427363,51.19992178870943,25064.222512162047,31173.518591981985,-15068344044.157478,3915261.967708265
538806.5925746,40000.05267435066,51.1999061414138,25064.236527191093,31173.518589659514,-15067714451.932999,4698314.3611332625
538806.7181703666,40000.0614548351,51.19989049243848,25064.250543391172,31173.518586914433,-15067084859.356459,5481366.754494615
538806.8437661333,40000.07023572692,51.199874841783256,25064.264560762396,31173.518583746638,-15066455266.42783,6264419.147781705
538806.9693619,40000.079017026124,51.19985918944792,25064.27857930487,31173.518580156022,-15065825673.147081,7047471.540983912
538807.0949576667,40000.08779873269,51.19984353543225,25064.292599018707,31173.518576142476,-15065196079.514183,7830523.934090613
538807.2205534333,40000.09658084661,51.19982787973603,25064.306619904015,31173.5185717059,-15064566485.529108,8613576.327091185
538807.3461492,40000.10536336787,51.19981222235906,25064.3206419609,31173.51856684618,-15063936891.191826,9396628.719975002
538807.4717449667,40000.11414629645,51.199796563301106,25064.334665189475,31173.51856156322,-15063307296.502306,10179681.112731433
538807.5973407333,40000.12292963235,51.19978090256196,25064.34868958985,31173.51855585691,-15062677701.46052,10962733.505349843
538807.7229365,40000.13171337554,51.1997652401414,25064.36271516213,31173.51854972714,-15062048106.066439,11745785.897819597
538807.8485322667,40000.14049752602,51.199749576039224,25064.376741906428,31173.51854317381,-15061418510.320032,12528838.290130058
538807.9741280333,40000.149282083774,51.199733910255205,25064.39076982285,31173.518536196807,-15060788914.22127,13311890.682270585
538808.0997238,40000.15806704878,51.199718242789125,25064.40479891151,31173.51852879603,-15060159317.770124,14094943.074230531
538808.2253195667,40000.16685242104,51.199702573640785,25064.41882917251,31173.51852097137,-15059529720.966566,14877995.465999255
538808.3509153334,40000.175638200526,51.199686902809944,25064.432860605968,31173.518512722723,-15058900123.810564,15661047.857566105
538808.4765111,40000.184424387226,51.19967123029641,25064.44689321199,31173.518504049982,-15058270526.302088,16444100.248920431
538808.6021068667,40000.193210981146,51.199655556099955,25064.460926990683,31173.51849495304,-15057640928.44111,17227152.640051577
538808.7277026334,40000.20199798225,51.19963988022037,25064.474961942156,31173.518485431792,-15057011330.227602,18010205.03094889
538808.8532984,40000.21078539053,51.199624202657425,25064.48899806652,31173.51847548613,-15056381731.661533,18793257.4216017
