t,V,theta,vX,vY,X,Y
271286.85599999997,40000.0,29.900000000000063,34675.86995742409,19939.509590153248,-15071492000.0,0.0
271286.9815957667,40000.01214466409,29.899989996756798,34675.88396682406,19939.50959007339,-15070620971.329632,500863.5987865299
271287.1071915333,40000.02429065369,29.899979992164894,34675.89797784351,19939.509589833793,-15069749942.307339,1001727.1975690479
271287.2327873,40000.036437969015,29.89996998622409,34675.91199048271,19939.509589434398,-15068878912.933079,1502590.7963435408
271287.35838306666,40000.04858661027,29.899959978934117,34675.92600474194,19939.50958887515,-15068007883.206814,2003454.395105994
271287.4839788333,40000.06073657767,29.899949970294717,34675.94002062147,19939.509588155994,-15067136853.128502,2504317.9938523914
271287.6095746,40000.07288787143,29.899939960305623,34675.954038121585,19939.509587276872,-15066265822.698101,3005181.592578715
271287.73517036665,40000.08504049176,29.899929948966562,34675.96805724256,19939.50958623773,-15065394791.915575,3506045.1912809466
271287.86076613335,40000.097194438866,29.8999199362773,34675.982077984656,19939.50958503852,-15064523760.780878,4006908.789955066
271287.9863619,40000.10934971296,29.89990992223754,34675.996100348166,19939.509583679173,-15063652729.293972,4507772.388597051
271288.11195766664,40000.12150631428,29.89989990684704,34676.01012433336,19939.509582159644,-15062781697.454817,5008635.987202878
271288.23755343334,40000.13366424301,29.89988989010552,34676.024149940524,19939.509580479873,-15061910665.26337,5509499.585768525
271288.3631492,40000.14582349938,29.899879872012725,34676.038177169925,19939.509578639805,-15061039632.719591,6010363.184289964
271288.4887449667,40000.15798408359,29.899869852568383,34676.05220602184,19939.509576639386,-15060168599.82344,6511226.782763168
271288.61434073333,40000.17014599586,29.899859831772236,34676.066236496554,19939.509574478558,-15059297566.574877,7012090.3811841095
271288.7399365,40000.1823092364,29.899849809624016,34676.080268594334,19939.509572157265,-15058426532.973858,7512953.979548758
271288.8655322667,40000.19447380542,29.89983978612346,34676.09430231546,19939.509569675454,-15057555499.020346,8013817.577853081
271288.9911280333,40000.20663970314,29.899829761270315,34676.10833766021,19939.50956703307,-15056684464.714296,8514681.176093047
271289.1167238,40000.21880692977,29.8998197350643,34676.12237462886,19939.509564230055,-15055813430.055672,9015544.774264622
271289.24231956666,40000.230975485516,29.899809707505153,34676.136413221684,19939.509561266354,-15054942395.04443,9516408.37236377
271289.3679153333,40000.243145370594,29.89979967859261,34676.15045343896,19939.50955814191,-15054071359.68053,10017271.970386453
271289.4935111,40000.25531658522,29.89978964832641,34676.164495280966,19939.509554856664,-15053200323.963932,10518135.568328634
271289.61910686665,40000.26748912961,29.899779616706283,34676.17853874798,19939.509551410567,-15052329287.894592,11018999.166186273
271289.74470263335,40000.279663003974,29.899769583731977,34676.19258384028,19939.509547803562,-15051458251.472473,11519862.763955329
271289.8702984,40000.29183820852,29.899759549403214,34676.20663055815,19939.50954403559,-15050587214.697533,12020726.361631757
271289.99589416664,40000.30401474347,29.89974951371973,34676.22067890185,19939.5095401066,-15049716177.569729,12521589.959211515
271290.12148993334,40000.31619260903,29.89973947668126,34676.23472887168,19939.509536016532,-15048845140.089024,13022453.556690557
271290.2470857,40000.32837180542,29.899729438287537,34676.2487804679,19939.509531765332,-15047974102.255375,13523317.154064838
271290.3726814667,40000.34055233285,29.899719398538302,34676.26283369079,19939.509527352944,-15047103064.06874,14024180.751330307
271290.49827723333,40000.352734191525,29.89970935743329,34676.276888540626,19939.50952277931,-15046232025.529081,14525044.348482916
271290.623873,40000.364917381674,29.899699314972228,34676.290945017696,19939.509518044375,-15045360986.636356,15025907.945518615
271290.7494687667,40000.3771019035,29.899689271154852,34676.305003122274,19939.509513148085,-15044489947.390524,15526771.54243335
271290.8750645333,40000.38928775722,29.899679225980904,34676.319062854636,19939.50950809038,-15043618907.791542,16027635.139223067
271291.0006603,40000.40147494304,29.899669179450107,34676.33312421506,19939.50950287121,-15042747867.839373,16528498.73588371
271291.12625606667,40000.41366346119,29.899659131562206,34676.34718720382,19939.509497490515,-15041876827.533974,17029362.332411226
271291.2518518333,40000.42585331187,29.89964908231693,34676.361251821196,19939.50949194824,-15041005786.875303,17530225.92880155
271291.3774476,40000.43804449529,29.899639031714017,34676.37531806747,19939.50948624433,-15040134745.86332,18031089.52505063
271291.50304336665,40000.450237011675,29.8996289797532,34676.389385942915,19939.509480378725,-15039263704.497984,18531953.1211544
271291.62863913336,40000.46243086123,29.899618926434208,34676.40345544781,19939.509474351373,-15038392662.779255,19032816.717108805
