t,V,theta,vX,vY,X,Y
742270.981,40000.0,67.39999999999972,15371.812906392328,36928.40868451916,-15071492000.0,0.0
742271.1065957666,40000.005383318916,67.39998147439749,15371.826915341522,36928.408684240974,-15071105872.898651,927610.3601024351
742271.2321915333,40000.01076640416,67.39996294754476,15371.840925008499,36928.408683406364,-15070719745.4454,1855220.7201908946
742271.3577873,40000.01614925565,67.39994441944151,15371.854935393245,36928.408682015244,-15070333617.640228,2782831.0802514004
742271.4833830666,40000.021531873295,67.39992589008769,15371.868946495752,36928.40868006753,-15069947489.48312,3710441.440269972
742271.6089788333,40000.026914257025,67.39990735948327,15371.882958316008,36928.40867756314,-15069561360.974056,4638051.800232627
742271.7345746,40000.03229640675,67.3998888276282,15371.896970854003,36928.408674501974,-15069175232.113016,5565662.160125382
742271.8601703667,40000.03767832239,67.3998702945225,15371.910984109725,36928.40867088396,-15068789102.899984,6493272.519934251
742271.9857661333,40000.043060003874,67.39985176016609,15371.924998083166,36928.408666709016,-15068402973.334944,7420882.879645243
742272.1113619,40000.0484414511,67.39983322455895,15371.939012774315,36928.408661977046,-15068016843.417875,8348493.239244369
742272.2369576667,40000.053822664,67.39981468770104,15371.953028183161,36928.40865668797,-15067630713.14876,9276103.598717635
742272.3625534333,40000.05920364248,67.39979614959235,15371.967044309693,36928.4086508417,-15067244582.527578,10203713.958051046
742272.4881492,40000.06458438647,67.39977761023283,15371.9810611539,36928.408644438154,-15066858451.554317,11131324.317230606
742272.6137449667,40000.06996489588,67.39975906962245,15371.99507871577,36928.408637477245,-15066472320.228954,12058934.676242316
742272.7393407333,40000.07534517063,67.39974052776117,15372.009096995296,36928.40862995888,-15066086188.551474,12986545.035072172
742272.8649365,40000.080725210646,67.39972198464896,15372.023115992466,36928.40862188298,-15065700056.521858,13914155.39370617
742272.9905322667,40000.086105015835,67.39970344028582,15372.037135707269,36928.40861324947,-15065313924.140087,14841765.752130305
742273.1161280333,40000.09148458612,67.39968489467165,15372.051156139694,36928.40860405825,-15064927791.406143,15769376.11033057
742273.2417238,40000.09686392142,67.39966634780647,15372.06517728973,36928.408594309236,-15064541658.32001,16696986.468292955
742273.3673195667,40000.10224302164,67.39964779969024,15372.079199157368,36928.40858400235,-15064155524.881668,17624596.826003443
742273.4929153334,40000.10762188671,67.39962925032293,15372.093221742594,36928.408573137494,-15063769391.091099,18552207.183448024
742273.6185111,40000.11300051655,67.39961069970448,15372.107245045401,36928.40856171459,-15063383256.948284,19479817.540612683
742273.7441068667,40000.118378911066,67.39959214783488,15372.121269065776,36928.408549733555,-15062997122.453207,20407427.8974834
742273.8697026334,40000.12375707018,67.39957359471408,15372.135293803709,36928.40853719429,-15062610987.60585,21335038.254046153
742273.9952983999,40000.129134993804,67.39955504034207,15372.149319259188,36928.408524096725,-15062224852.406195,22262648.61028692
742274.1208941666,40000.13451268188,67.39953648471881,15372.163345432204,36928.40851044077,-15061838716.854223,23190258.966191676
742274.2464899333,40000.1398901343,67.39951792784426,15372.177372322745,36928.40849622634,-15061452580.949917,24117869.321746387
742274.3720856999,40000.145267350985,67.39949936971838,15372.1913999308,36928.40848145334,-15061066444.693258,25045479.67693703
742274.4976814666,40000.150644331865,67.39948081034116,15372.205428256359,36928.4084661217,-15060680308.084229,25973090.031749573
742274.6232772333,40000.15602107685,67.39946224971256,15372.21945729941,36928.40845023132,-15060294171.12281,26900700.38616998
742274.748873,40000.16139758586,67.39944368783253,15372.233487059944,36928.408433782126,-15059908033.808987,27828310.74018422
742274.8744687666,40000.16677385881,67.39942512470107,15372.24751753795,36928.40841677402,-15059521896.142736,28755921.093778253
742275.0000645333,40000.17214989561,67.39940656031811,15372.261548733415,36928.40839920693,-15059135758.124044,29683531.44693803
742275.1256603,40000.17752569619,67.39938799468364,15372.27558064633,36928.40838108076,-15058749619.752892,30611141.799649518
742275.2512560666,40000.182901260465,67.39936942779762,15372.289613276684,36928.40836239542,-15058363481.02926,31538752.151898667
742275.3768518333,40000.18827658836,67.39935085966003,15372.303646624463,36928.40834315084,-15057977341.953133,32466362.503671434
742275.5024476,40000.193651679765,67.39933229027083,15372.317680689659,36928.40832334693,-15057591202.524488,33393972.85495377
742275.6280433666,40000.19902653463,67.39931371962997,15372.33171547226,36928.4083029836,-15057205062.743313,34321583.20573162
742275.7536391333,40000.204401152856,67.39929514773745,15372.345750972258,36928.40828206076,-15056818922.609587,35249193.55599094
742275.8792349,40000.20977553436,67.39927657459322,15372.359787189636,36928.408260578326,-15056432782.123291,36176803.90571766
742276.0048306667,40000.21514967906,67.39925800019724,15372.373824124388,36928.40823853622,-15056046641.284407,37104414.254897736
742276.1304264333,40000.22052358688,67.39923942454948,15372.387861776502,36928.40821593435,-15055660500.092918,38032024.6035171
742276.2560222,40000.22589725773,67.39922084764991,15372.401900145966,36928.40819277264,-15055274358.548807,38959634.9515617
742276.3816179667,40000.23127069154,67.3992022694985,15372.41593923277,36928.408169050985,-15054888216.652054,39887245.29901746
742276.5072137333,40000.236643888216,67.39918369009524,15372.4299790369,36928.40814476932,-15054502074.402643,40814855.64587032
742276.6328095,40000.24201684767,67.39916510944006,15372.444019558348,36928.40811992754,-15054115931.800556,41742465.992106214
742276.7584052667,40000.24738956982,67.39914652753296,15372.458060797102,36928.40809452557,-15053729788.845774,42670076.337711066
742276.8840010333,40000.2527620546,67.39912794437387,15372.47210275315,36928.40806856332,-15053343645.538277,43597686.6826708
742277.0095968,40000.25813430192,67.3991093599628,15372.486145426483,36928.40804204072,-15052957501.87805,44525297.026971355
742277.1351925667,40000.26350631169,67.39909077429967,15372.500188817088,36928.40801495766,-15052571357.865074,45452907.370598644
742277.2607883334,40000.268878083836,67.39907218738449,15372.514232924956,36928.40798731407,-15052185213.49933,46380517.71353859
742277.3863841,40000.27424961827,67.39905359921721,15372.528277750072,36928.40795910986,-15051799068.780804,47308128.05577711
742277.5119798667,40000.27962091491,67.39903500979781,15372.542323292428,36928.40793034495,-15051412923.709473,48235738.397300124
742277.6375756334,40000.28499197368,67.39901641912624,15372.55636955201,36928.40790101924,-15051026778.28532,49163348.73809355
742277.7631714,40000.29036279448,67.39899782720248,15372.57041652881,36928.40787113266,-15050640632.508327,50090959.07814328
742277.8887671666,40000.29573337725,67.39897923402648,15372.584464222815,36928.40784068511,-15050254486.378479,51018569.41743525
742278.0143629333,40000.30110372189,67.39896063959824,15372.598512634015,36928.407809676515,-15049868339.895756,51946179.75595535
742278.1399586999,40000.30647382833,67.3989420439177,15372.612561762397,36928.40777810678,-15049482193.060139,52873790.0936895
742278.2655544666,40000.31184369648,67.39892344698484,15372.62661160795,36928.407745975834,-15049096045.871609,53801400.4306236
742278.3911502333,40000.317213326256,67.39890484879962,15372.640662170663,36928.407713283574,-15048709898.330153,54729010.76674354
742278.516746,40000.32258271758,67.39888624936202,15372.654713450525,36928.40768002992,-15048323750.435747,55656621.10203523
742278.6423417666,40000.32795187036,67.398867648672,15372.668765447526,36928.40764621479,-15047937602.188377,56584231.436484575
742278.7679375333,40000.33332078452,67.39884904672951,15372.682818161653,36928.4076118381,-15047551453.588024,57511841.77007745
742278.8935333,40000.33868945998,67.39883044353455,15372.696871592894,36928.40757689976,-15047165304.63467,58439452.10279976
742279.0191290666,40000.34405789666,67.39881183908707,15372.71092574124,36928.40754139968,-15046779155.328297,59367062.43463739
742279.1447248333,40000.34942609447,67.39879323338704,15372.724980606676,36928.40750533778,-15046393005.668884,60294672.765576236
742279.2703206,40000.354794053324,67.39877462643445,15372.739036189194,36928.40746871397,-15046006855.656418,61222283.095602185
742279.3959163666,40000.360161773155,67.39875601822924,15372.753092488781,36928.407431528176,-15045620705.290878,62149893.42470112
742279.5215121333,40000.36552925386,67.39873740877138,15372.767149505426,36928.4073937803,-15045234554.572247,63077503.752858914
742279.6471079,40000.37089649537,67.39871879806084,15372.781207239117,36928.407355470255,-15044848403.500505,64005114.08006146
742279.7727036667,40000.3762634976,67.3987001860976,15372.795265689843,36928.407316597964,-15044462252.075638,64932724.40629462
742279.8982994333,40000.38163026046,67.39868157288161,15372.809324857593,36928.40727716334,-15044076100.297625,65860334.73154428
742280.0238952,40000.38699678388,67.39866295841287,15372.823384742354,36928.407237166284,-15043689948.166447,66787945.05579631
742280.1494909667,40000.39236306776,67.39864434269131,15372.837445344116,36928.40719660672,-15043303795.682089,67715555.37903659
742280.2750867333,40000.397729112025,67.39862572571693,15372.851506662866,36928.407155484565,-15042917642.844532,68643165.70125099
742280.4006825,40000.4030949166,67.39860710748967,15372.865568698593,36928.40711379973,-15042531489.653757,69570776.02242535
742280.5262782667,40000.40846048139,67.39858848800951,15372.879631451287,36928.40707155213,-15042145336.109745,70498386.34254557
742280.6518740333,40000.41382580632,67.39856986727642,15372.893694920935,36928.407028741676,-15041759182.212482,71425996.66159749
742280.7774698,40000.419190891305,67.39855124529038,15372.907759107526,36928.40698536828,-15041373027.961946,72353606.97956699
742280.9030655667,40000.42455573626,67.39853262205132,15372.921824011048,36928.406941431866,-15040986873.358122,73281217.2964399
742281.0286613334,40000.42992034111,67.39851399755925,15372.935889631488,36928.40689693234,-15040600718.40099,74208827.61220211
742281.1542571,40000.43528470576,67.39849537181414,15372.949955968837,36928.40685186962,-15040214563.090532,75136437.92683944
742281.2798528667,40000.44064883013,67.39847674481592,15372.964023023082,36928.40680624362,-15039828407.426731,76064048.24033776
742281.4054486334,40000.44601271414,67.39845811656457,15372.978090794211,36928.40676005425,-15039442251.409567,76991658.55268292
742281.5310444,40000.45137635771,67.39843948706009,15372.992159282214,36928.40671330142,-15039056095.039024,77919268.86386077
742281.6566401666,40000.45673976075,67.39842085630241,15373.006228487078,36928.40666598505,-15038669938.315084,78846879.17385714
742281.7822359334,40000.462102923186,67.3984022242915,15373.020298408792,36928.40661810506,-15038283781.237728,79774489.48265788
