t,V,theta,vX,vY,X,Y
211000.888,40000.0,25.100000000000044,36222.751960445574,16967.976909815636,-15071492000.0,0.0
211001.01359576665,40000.01268648951,25.099991487517784,36222.76596988167,16967.976909770474,-15070582114.96341,426221.2137541185
211001.13919153332,40000.02537447355,25.099982973895806,36222.7799810095,16967.97690963497,-15069672229.574892,852442.427505968
211001.2647873,40000.03806395241,25.099974459133886,36222.79399382938,16967.97690940909,-15068762343.834404,1278663.6412532788
211001.39038306667,40000.050754926335,25.099965943231798,36222.8080083416,16967.97690909281,-15067852457.741905,1704884.8549937808
211001.51597883334,40000.063447395594,25.099957426189306,36222.822024546476,16967.976908686087,-15066942571.297352,2131106.068725202
211001.64157459998,40000.07614136046,25.099948908006198,36222.836042444316,16967.97690818889,-15066032684.500704,2557327.282445271
211001.76717036666,40000.08883682118,25.099940388682242,36222.85006203542,16967.976907601194,-15065122797.351915,2983548.4961517146
211001.89276613333,40000.10153377803,25.099931868217208,36222.86408332009,16967.97690692296,-15064212909.850946,3409769.709842258
211002.0183619,40000.11423223126,25.099923346610876,36222.87810629864,16967.976906154152,-15063303021.997753,3835990.923514628
211002.14395766667,40000.12693218114,25.099914823863013,36222.89213097137,16967.97690529474,-15062393133.792292,4262212.137166548
211002.26955343332,40000.13963362794,25.099906299973394,36222.90615733859,16967.976904344694,-15061483245.234522,4688433.350795742
211002.3951492,40000.152336571926,25.099897774941798,36222.92018540061,16967.97690330398,-15060573356.3244,5114654.564399934
211002.52074496666,40000.16504101334,25.099889248768,36222.93421515772,16967.976902172566,-15059663467.061884,5540875.777976845
211002.64634073334,40000.17774695246,25.09988072145177,36222.94824661024,16967.976900950416,-15058753577.446932,5967096.991524196
211002.7719365,40000.19045438955,25.099872192992873,36222.962279758474,16967.9768996375,-15057843687.479502,6393318.205039708
211002.89753226665,40000.20316332488,25.09986366339109,36222.976314602725,16967.97689823378,-15056933797.159548,6819539.418521101
211003.02312803332,40000.2158737587,25.099855132646194,36222.99035114331,16967.97689673923,-15056023906.487028,7245760.631966092
211003.1487238,40000.228585691286,25.099846600757957,36223.00438938052,16967.976895153814,-15055114015.461903,7671981.8453724
211003.27431956667,40000.24129912289,25.09983806772615,36223.018429314674,16967.9768934775,-15054204124.084127,8098203.058737744
