t,V,theta,vX,vY,X,Y
11303.619,40000.0,9.200000000000001,39485.45060291952,6395.247507673396,-15071492000.0,0.0
11303.744595766666,40000.01382931021,9.199996791752321,39485.4646124318,6395.247507751682,-15070500158.735928,160643.2027498659
11303.870191533333,40000.027660466,9.199993583305957,39485.47862378823,6395.24750798657,-15069508317.119926,321286.40550366475
11303.9957873,40000.041493467754,9.199990374660915,39485.49263698916,6395.247508378121,-15068516475.151947,481929.608265331
11304.121383066666,40000.05532831581,9.1999871658172,39485.50665203496,6395.247508926398,-15067524632.831944,642572.8110388006
11304.246978833333,40000.06916501055,9.199983956774819,39485.52066892598,6395.247509631463,-15066532790.159872,803216.0138280113
11304.3725746,40000.08300355235,9.199980747533775,39485.534687662584,6395.247510493377,-15065540947.135685,963859.2166369023
11304.498170366667,40000.09684394154,9.199977538094078,39485.54870824513,6395.247511512203,-15064549103.759336,1124502.4194694143
11304.623766133333,40000.11068617851,9.199974328455733,39485.56273067398,6395.247512688003,-15063557260.030779,1285145.622329489
11304.7493619,40000.124530263616,9.199971118618745,39485.57675494949,6395.247514020838,-15062565415.949968,1445788.8252210713
11304.874957666667,40000.13837619724,9.199967908583117,39485.59078107203,6395.24751551077,-15061573571.516855,1606432.0281481056
11305.000553433332,40000.152223979734,9.19996469834886,39485.60480904195,6395.247517157863,-15060581726.731394,1767075.2311145393
11305.1261492,40000.16607361146,9.199961487915978,39485.61883885961,6395.247518962176,-15059589881.593538,1927718.434124321
11305.251744966667,40000.179925092794,9.199958277284475,39485.63287052538,6395.247520923774,-15058598036.103243,2088361.6371814003
11305.377340733334,40000.193778424094,9.199955066454358,39485.64690403962,6395.247523042717,-15057606190.260462,2249004.840289729
11305.5029365,40000.207633605736,9.199951855425633,39485.66093940268,6395.247525319069,-15056614344.065147,2409648.0434532603
11305.628532266666,40000.22149063807,9.199948644198306,39485.67497661493,6395.24752775289,-15055622497.517252,2570291.2466759495
11305.754128033333,40000.23534952148,9.199945432772383,39485.689015676726,6395.247530344243,-15054630650.616732,2730934.449961752
11305.8797238,40000.24921025632,9.19994222114787,39485.70305658843,6395.247533093191,-15053638803.363539,2891577.6533146263
11306.005319566666,40000.26307284296,9.199939009324773,39485.7170993504,6395.247535999796,-15052646955.757627,3052220.8567385315
11306.130915333333,40000.276937281764,9.1999357973031,39485.731143963,6395.24753906412,-15051655107.79895,3212864.0602374286
11306.2565111,40000.29080357311,9.199932585082852,39485.7451904266,6395.247542286225,-15050663259.48746,3373507.2638152805
11306.382106866666,40000.30467171735,9.19992937266404,39485.75923874155,6395.247545666174,-15049671410.82311,3534150.4674760504
11306.507702633333,40000.318541714856,9.199926160046667,39485.77328890821,6395.2475492040285,-15048679561.805857,3694793.6712237047
11306.6332984,40000.332413566,9.199922947230737,39485.78734092695,6395.247552899851,-15047687712.435652,3855436.8750622105
11306.758894166667,40000.346287271146,9.199919734216262,39485.80139479813,6395.247556753705,-15046695862.71245,4016080.078995537
11306.884489933333,40000.36016283065,9.199916521003246,39485.81545052211,6395.2475607656515,-15045704012.636202,4176723.283027654
11307.0100857,40000.3740402449,9.199913307591693,39485.82950809925,6395.247564935754,-15044712162.206861,4337366.487162533
11307.135681466667,40000.38791951424,9.199910093981611,39485.843567529904,6395.247569264074,-15043720311.424385,4498009.69140415
11307.261277233332,40000.401800639054,9.199906880173005,39485.85762881445,6395.247573750675,-15042728460.288725,4658652.8957564775
11307.386873,40000.4156836197,9.199903666165884,39485.87169195324,6395.247578395619,-15041736608.799833,4819296.100223493
11307.512468766667,40000.42956845656,9.199900451960248,39485.88575694664,6395.247583198968,-15040744756.957663,4979939.304809174
11307.638064533334,40000.44345514999,9.199897237556108,39485.899823795015,6395.247588160785,-15039752904.762169,5140582.509517501
11307.7636603,40000.45734370036,9.19989402295347,39485.91389249872,6395.247593281133,-15038761052.213305,5301225.714352456
11307.889256066666,40000.47123410802,9.199890808152338,39485.92796305812,6395.247598560074,-15037769199.311024,5461868.919318021
11308.014851833334,40000.48512637338,9.199887593152718,39485.942035473585,6395.247603997671,-15036777346.055279,5622512.124418181
11308.140447599999,40000.49902049677,9.19988437795462,39485.95610974547,6395.247609593986,-15035785492.446022,5783155.329656922
11308.266043366666,40000.512916478576,9.199881162558045,39485.97018587414,6395.247615349083,-15034793638.48321,5943798.535038232
11308.391639133333,40000.52681431916,9.199877946963005,39485.98426385995,6395.2476212630245,-15033801784.166794,6104441.740566099
11308.5172349,40000.54071401888,9.199874731169503,39485.99834370327,6395.247627335872,-15032809929.496727,6265084.946244515
11308.642830666666,40000.55461557814,9.199871515177545,39486.01242540447,6395.247633567688,-15031818074.472963,6425728.152077472
11308.768426433333,40000.56851899727,9.199868298987138,39486.02650896391,6395.247639958538,-15030826219.095455,6586371.3580689635
11308.8940222,40000.582424276654,9.199865082598286,39486.040594381935,6395.247646508481,-15029834363.364157,6747014.564222986
