t,V,theta,vX,vY,X,Y
580252.442,40000.0,54.499999999999844,23228.11822843768,32564.62073425271,-15071492000.0,0.0
580252.5675957666,40000.00813496135,54.49998366328011,23228.132237570324,32564.620734025455,-15070908529.160633,817995.7014655398
580252.6931915333,40000.01627018579,54.49996732492399,23228.146247787696,32564.620733343643,-15070325057.969357,1635991.4029196629
580252.8187873,40000.02440567329,54.499950984931296,23228.160259089876,32564.620732207168,-15069741586.42614,2453987.1043509496
580252.9443830666,40000.03254142381,54.49993464330185,23228.174271476946,32564.620730615923,-15069158114.530956,3271982.805747978
580253.0699788333,40000.04067743731,54.49991830003545,23228.188284948992,32564.6207285698,-15068574642.283781,4089978.507099323
580253.1955746,40000.04881371375,54.49990195513194,23228.20229950609,32564.620726068697,-15067991169.684586,4907974.208393558
580253.3211703666,40000.05695025311,54.49988560859112,23228.21631514833,32564.620723112508,-15067407696.733343,5725969.909619252
580253.4467661333,40000.06508705532,54.499869260412815,23228.230331875788,32564.620719701124,-15066824223.430027,6543965.610764973
580253.5723619,40000.07322412037,54.49985291059684,23228.24434968855,32564.620715834444,-15066240749.774609,7361961.311819284
580253.6979576667,40000.081361448225,54.49983655914301,23228.2583685867,32564.620711512358,-15065657275.76706,8179957.01277075
580253.8235534333,40000.08949903883,54.499820206051155,23228.272388570316,32564.620706734764,-15065073801.407354,8997952.713607928
580253.9491492,40000.09763689216,54.499803851321076,23228.286409639484,32564.620701501553,-15064490326.695465,9815948.414319374
580254.0747449667,40000.105775008175,54.499787494952585,23228.300431794283,32564.62069581262,-15063906851.631365,10633944.114893643
580254.2003407333,40000.113913386835,54.499771136945526,23228.314455034797,32564.620689667863,-15063323376.215027,11451939.815319289
580254.3259365,40000.1220520281,54.4997547772997,23228.32847936111,32564.620683067173,-15062739900.446424,12269935.515584856
580254.4515322667,40000.13019093194,54.49973841601493,23228.3425047733,32564.620676010443,-15062156424.32553,13087931.215678893
580254.5771280333,40000.138330098314,54.49972205309102,23228.356531271453,32564.62066849757,-15061572947.852312,13905926.915589944
580254.7027238,40000.146469527186,54.49970568852778,23228.37055885565,32564.620660528442,-15060989471.026747,14723922.615306547
580254.8283195667,40000.15460921851,54.49968932232506,23228.384587525976,32564.62065210296,-15060405993.848808,15541918.314817242
580254.9539153334,40000.16274917227,54.49967295448267,23228.39861728251,32564.620643221017,-15059822516.318468,16359914.014110563
580255.0795111,40000.1708893884,54.4996565850004,23228.412648125337,32564.620633882503,-15059239038.4357,17177909.713175047
580255.2051068667,40000.179029866886,54.49964021387809,23228.426680054537,32564.620624087314,-15058655560.200474,17995905.41199922
580255.3307026334,40000.18717060767,54.49962384111554,23228.440713070195,32564.620613835345,-15058072081.612762,18813901.110571604
580255.4562984,40000.19531161074,54.49960746671259,23228.45474717239,32564.62060312649,-15057488602.67254,19631896.80888073
580255.5818941667,40000.20345287604,54.49959109066904,23228.468782361208,32564.62059196064,-15056905123.37978,20449892.506915126
580255.7074899334,40000.21159440353,54.499574712984725,23228.482818636727,32564.620580337694,-15056321643.734455,21267888.204663303
580255.8330856999,40000.21973619319,54.49955833365944,23228.496855999034,32564.620568257546,-15055738163.736536,22085883.902113777
580255.9586814666,40000.22787824497,54.49954195269301,23228.51089444821,32564.620555720085,-15055154683.385998,22903879.599255066
580256.0842772333,40000.236020558834,54.49952557008525,23228.524933984336,32564.620542725206,-15054571202.682812,23721875.29607568
580256.209873,40000.24416313475,54.49950918583598,23228.538974607494,32564.620529272805,-15053987721.62695,24539870.992564127
580256.3354687666,40000.25230597267,54.49949279994502,23228.55301631777,32564.620515362774,-15053404240.218386,25357866.688708916
580256.4610645333,40000.26044907256,54.49947641241219,23228.56705911524,32564.62050099501,-15052820758.457092,26175862.384498548
580256.5866603,40000.26859243438,54.4994600232373,23228.581102999993,32564.620486169402,-15052237276.343042,26993858.07992152
580256.7122560666,40000.276736058106,54.49944363242016,23228.595147972108,32564.62047088585,-15051653793.87621,27811853.77496634
580256.8378518333,40000.28487994368,54.4994272399606,23228.60919403167,32564.620455144242,-15051070311.056564,28629849.469621494
580256.9634476,40000.29302409108,54.49941084585843,23228.623241178757,32564.620438944472,-15050486827.884079,29447845.163875483
580257.0890433666,40000.30116850027,54.49939445011347,23228.637289413455,32564.620422286436,-15049903344.358728,30265840.85771679
580257.2146391333,40000.3093131712,54.49937805272554,23228.651338735843,32564.62040517003,-15049319860.480484,31083836.55113391
580257.3402349,40000.31745810384,54.49936165369444,23228.66538914601,32564.620387595143,-15048736376.24932,31901832.244115315
580257.4658306667,40000.325603298144,54.49934525302001,23228.679440644028,32564.62036956167,-15048152891.665207,32719827.936649498
580257.5914264333,40000.33374875409,54.49932885070206,23228.69349322999,32564.620351069505,-15047569406.728119,33537823.628724933
580257.7170222,40000.341894471625,54.49931244674039,23228.70754690397,32564.620332118542,-15046985921.438026,34355819.3203301
580257.8426179667,40000.350040450714,54.49929604113483,23228.721601666057,32564.620312708674,-15046402435.794905,35173815.01145347
580257.9682137333,40000.35818669133,54.4992796338852,23228.73565751633,32564.620292839794,-15045818949.798727,35991810.70208352
580258.0938095,40000.36633319342,54.49926322499131,23228.74971445487,32564.6202725118,-15045235463.449465,36809806.39220872
580258.2194052667,40000.374479956954,54.49924681445299,23228.76377248176,32564.620251724577,-15044651976.74709,37627802.08181752
580258.3450010333,40000.3826269819,54.49923040227004,23228.777831597086,32564.620230478027,-15044068489.691576,38445797.7708984
580258.4705968,40000.390774268206,54.499213988442285,23228.791891800927,32564.62020877204,-15043485002.282894,39263793.459439814
580258.5961925667,40000.39892181584,54.49919757296954,23228.805953093364,32564.62018660651,-15042901514.521019,40081789.147430226
580258.7217883333,40000.40706962477,54.499181155851616,23228.820015474485,32564.62016398133,-15042318026.405922,40899784.83485808
580258.8473841,40000.41521769496,54.49916473708835,23228.834078944365,32564.620140896393,-15041734537.937576,41717780.52171184
580258.9729798667,40000.423366026356,54.49914831667952,23228.84814350309,32564.62011735159,-15041151049.115955,42535776.20797995
580259.0985756334,40000.431514618926,54.49913189462498,23228.862209150746,32564.62009334682,-15040567559.94103,43353771.89365085
580259.2241714,40000.43966347265,54.49911547092454,23228.87627588741,32564.620068881974,-15039984070.412773,44171767.578713
580259.3497671667,40000.44781258747,54.499099045578,23228.890343713167,32564.620043956944,-15039400580.531158,44989763.26315483
580259.4753629334,40000.455961963344,54.499082618585184,23228.904412628097,32564.620018571622,-15038817090.296158,45807758.946964785
580259.6009587,40000.464111600246,54.499066189945914,23228.918482632285,32564.619992725904,-15038233599.707745,46625754.630131304
580259.7265544666,40000.472261498144,54.499049759660004,23228.932553725812,32564.619966419683,-15037650108.765892,47443750.31264281
580259.8521502333,40000.48041165699,54.49903332772727,23228.94662590876,32564.619939652854,-15037066617.470572,48261745.99448775
580259.9777459999,40000.48856207674,54.49901689414753,23228.960699181214,32564.619912425307,-15036483125.821754,49079741.67565454
580260.1033417666,40000.49671275737,54.49900045892059,23228.974773543254,32564.619884736938,-15035899633.819416,49897737.35613161
580260.2289375333,40000.504863698836,54.49898402204628,23228.988848994963,32564.619856587637,-15035316141.463528,50715733.03590739
580260.3545333,40000.513014901095,54.49896758352441,23229.00292553642,32564.619827977298,-15034732648.754063,51533728.71497029
580260.4801290666,40000.52116636411,54.4989511433548,23229.01700316771,32564.619798905816,-15034149155.690994,52351724.39330873
580260.6057248333,40000.52931808785,54.498934701537266,23229.03108188892,32564.619769373083,-15033565662.274294,53169720.070911124
580260.7313206,40000.53747007227,54.49891825807162,23229.045161700124,32564.61973937899,-15032982168.503933,53987715.747765884
580260.8569163666,40000.54562231734,54.49890181295769,23229.05924260141,32564.619708923437,-15032398674.379885,54805711.42386143
580260.9825121333,40000.553774823005,54.498885366195275,23229.073324592857,32564.61967800631,-15031815179.902124,55623707.09918616
580261.1081079,40000.561927589246,54.4988689177842,23229.08740767455,32564.619646627507,-15031231685.070621,56441702.773728475
580261.2337036666,40000.57008061602,54.498852467724284,23229.10149184657,32564.619614786916,-15030648189.885351,57259698.44747679
580261.3592994333,40000.578233903274,54.49883601601534,23229.115577109,32564.619582484433,-15030064694.346283,58077694.12041949
580261.4848952,40000.58638745099,54.49881956265718,23229.129663461925,32564.61954971995,-15029481198.453392,58895689.792544976
580261.6104909667,40000.59454125912,54.498803107649636,23229.14375090542,32564.619516493363,-15028897702.20665,59713685.46384165
580261.7360867333,40000.60269532762,54.49878665099251,23229.157839439573,32564.619482804563,-15028314205.60603,60531681.13429789
580261.8616825,40000.61084965646,54.49877019268562,23229.171929064465,32564.61944865344,-15027730708.651505,61349676.8039021
580261.9872782667,40000.61900424561,54.49875373272878,23229.18601978018,32564.61941403989,-15027147211.343046,62167672.472642645
580262.1128740333,40000.627159095005,54.49873727112182,23229.200111586797,32564.619378963806,-15026563713.680626,62985668.14050792
580262.2384698,40000.635314204636,54.49872080786454,23229.2142044844,32564.619343425078,-15025980215.664219,63803663.80748631
580262.3640655667,40000.64346957444,54.498704342956756,23229.22829847307,32564.619307423603,-15025396717.293797,64621659.47356618
580262.4896613333,40000.651625204395,54.4986878763983,23229.242393552893,32564.619270959272,-15024813218.56933,65439655.13873591
580262.6152571,40000.65978109446,54.49867140818898,23229.256489723946,32564.61923403198,-15024229719.490795,66257650.80298387
580262.7408528667,40000.66793724459,54.49865493832861,23229.270586986317,32564.619196641615,-15023646220.05816,67075646.46629844
580262.8664486334,40000.67609365475,54.49863846681701,23229.284685340084,32564.619158788075,-15023062720.271402,67893642.12866798
580262.9920444,40000.684250324906,54.49862199365399,23229.298784785333,32564.61912047125,-15022479220.130491,68711637.79008086
580263.1176401667,40000.69240725501,54.498605518839376,23229.312885322142,32564.61908169103,-15021895719.6354,69529633.45052542
580263.2432359334,40000.70056444504,54.49858904237297,23229.326986950597,32564.619042447313,-15021312218.786104,70347629.10999003
580263.3688317,40000.70872189493,54.498572564254594,23229.34108967078,32564.619002739986,-15020728717.582573,71165624.76846306
580263.4944274666,40000.71687960467,54.49855608448407,23229.35519348277,32564.618962568948,-15020145216.024778,71983620.42593285
580263.6200232334,40000.7250375742,54.49853960306121,23229.369298386653,32564.618921934085,-15019561714.112694,72801616.08238776
580263.7456189999,40000.7331958035,54.49852311998583,23229.383404382508,32564.618880835296,-15018978211.846292,73619611.73781613
580263.8712147666,40000.74135429251,54.498506635257755,23229.39751147042,32564.61883927247,-15018394709.225548,74437607.3922063
580263.9968105333,40000.74951304122,54.49849014887678,23229.41161965047,32564.6187972455,-15017811206.250431,75255603.0455466
580264.1224063,40000.75767204956,54.49847366084274,23229.42572892274,32564.61875475428,-15017227702.920914,76073598.69782542
580264.2480020666,40000.76583131751,54.498457171155444,23229.43983928731,32564.6187117987,-15016644199.236969,76891594.34903105
580264.3735978333,40000.77399084503,54.498440679814706,23229.45395074427,32564.618668378655,-15016060695.198572,77709589.99915184
580264.4991936,40000.782150632076,54.49842418682034,23229.468063293698,32564.618624494036,-15015477190.805693,78527585.64817612
580264.6247893666,40000.79031067861,54.498407692172165,23229.482176935675,32564.618580144735,-15014893686.058306,79345581.29609223
580264.7503851333,40000.7984709846,54.49839119587,23229.496291670286,32564.618535330646,-15014310180.95638,80163576.94288847
580264.8759809,40000.806631550004,54.49837469791366,23229.51040749761,32564.618490051664,-15013726675.499891,80981572.58855318
580265.0015766666,40000.814792374775,54.49835819830296,23229.524524417735,32564.618444307675,-15013143169.688812,81799568.23307468
580265.1271724333,40000.82295345888,54.49834169703771,23229.538642430736,32564.618398098573,-15012559663.523113,82617563.87644129
580265.2527682,40000.831114802284,54.49832519411774,23229.5527615367,32564.618351424255,-15011976157.00277,83435559.51864132
