t,V,theta,vX,vY,X,Y
550109.458,40000.0,52.099999999999866,24571.4080039578,31563.36339338757,-15071492000.0,0.0
550109.5835957667,40000.00860545355,52.09998416553999,24571.422013121814,31563.363393172007,-15070874786.858791,792844.9647942227
550109.7091915333,40000.01721127479,52.09996832941058,24571.436023433296,31563.36339252526,-15070257573.36567,1585689.929577616
550109.8347873,40000.0258174637,52.099952491611404,24571.450034892354,31563.363391447227,-15069640359.520607,2378534.8943393477
550109.9603830667,40000.03442402026,52.099936652142276,24571.464047499085,31563.363389937796,-15069023145.323572,3171379.8590685823
550110.0859788334,40000.04303094445,52.099920811002974,24571.47806125359,31563.36338799687,-15068405930.77454,3964224.8237544824
550110.2115746,40000.051638236255,52.09990496819331,24571.492076155977,31563.363385624336,-15067788715.873478,4757069.788386208
550110.3371703667,40000.06024589565,52.099889123713055,24571.506092206342,31563.363382820087,-15067171500.62036,5549914.752952917
550110.4627661334,40000.06885392261,52.09987327756201,24571.52010940479,31563.36337958402,-15066554285.015156,6342759.717443761
550110.5883619,40000.077462317124,52.09985742973998,24571.534127751424,31563.363375916033,-15065937069.057837,7135604.681847895
550110.7139576667,40000.08607107917,52.099841580246746,24571.548147246343,31563.363371816013,-15065319852.748375,7928449.646154466
550110.8395534334,40000.09468020873,52.0998257290821,24571.56216788965,31563.363367283855,-15064702636.08674,8721294.61035262
550110.9651491999,40000.10328970577,52.09980987624584,24571.576189681444,31563.363362319455,-15064085419.072906,9514139.574431503
550111.0907449666,40000.111899570285,52.09979402173776,24571.59021262183,31563.363356922706,-15063468201.70684,10306984.538380256
550111.2163407333,40000.12050980225,52.09977816555766,24571.60423671091,31563.363351093503,-15062850983.988516,11099829.502188016
550111.3419365,40000.12912040163,52.09976230770531,24571.618261948788,31563.363344831738,-15062233765.917904,11892674.465843918
550111.4675322666,40000.137731368435,52.099746448180525,24571.63228833556,31563.363338137307,-15061616547.494974,12685519.429337097
550111.5931280333,40000.146342702625,52.099730586983085,24571.64631587133,31563.363331010103,-15060999328.719702,13478364.392656682
550111.7187238,40000.154954404185,52.09971472411279,24571.660344556203,31563.36332345002,-15060382109.592054,14271209.355791803
550111.8443195666,40000.16356647309,52.099698859569436,24571.674374390277,31563.363315456947,-15059764890.112003,15064054.318731584
550111.9699153333,40000.17217890932,52.0996829933528,24571.688405373658,31563.363307030784,-15059147670.27952,15856899.281465147
550112.0955111,40000.18079171286,52.099667125462695,24571.702437506443,31563.36329817142,-15058530450.094578,16649744.243981611
550112.2211068666,40000.18940488369,52.0996512558989,24571.71647078874,31563.363288878754,-15057913229.557144,17442589.206270095
550112.3467026333,40000.19801842179,52.099635384661205,24571.730505220643,31563.363279152672,-15057296008.66719,18235434.168319713
550112.4722984,40000.20663232713,52.09961951174942,24571.74454080226,31563.363268993075,-15056678787.424692,19028279.130119573
550112.5978941667,40000.21524659969,52.09960363716332,24571.758577533692,31563.36325839985,-15056061565.829617,19821124.09165879
550112.7234899333,40000.22386123946,52.09958776090269,24571.77261541504,31563.363247372898,-15055444343.881935,20613969.052926466
550112.8490857,40000.23247624641,52.09957188296736,24571.786654446405,31563.363235912104,-15054827121.58162,21406814.013911705
550112.9746814667,40000.24109162053,52.099556003357094,24571.80069462789,31563.36322401737,-15054209898.928642,22199658.97460361
550113.1002772333,40000.2497073618,52.09954012207168,24571.814735959597,31563.363211688582,-15053592675.922972,22992503.934991278
550113.225873,40000.25832347018,52.09952423911093,24571.828778441628,31563.363198925636,-15052975452.564579,23785348.895063806
550113.3514687667,40000.266939945664,52.09950835447462,24571.842822074083,31563.363185728427,-15052358228.85344,24578193.854810286
550113.4770645333,40000.275556788234,52.09949246816255,24571.856866857066,31563.363172096848,-15051741004.78952,25371038.814219806
550113.6026603,40000.28417399787,52.09947658017452,24571.87091279068,31563.363158030792,-15051123780.372793,26163883.77328146
550113.7282560667,40000.29279157454,52.09946069051031,24571.884959875024,31563.36314353015,-15050506555.60323,26956728.73198433
550113.8538518333,40000.30140951823,52.09944479916972,24571.899008110202,31563.363128594818,-15049889330.4808,27749573.690317493
550113.9794476,40000.31002782892,52.099428906152525,24571.913057496316,31563.36311322469,-15049272105.005478,28542418.648270037
550114.1050433667,40000.318646506596,52.09941301145855,24571.927108033466,31563.363097419657,-15048654879.17723,29335263.605831034
550114.2306391334,40000.32726555122,52.09939711508756,24571.941159721755,31563.363081179614,-15048037652.996033,30128108.56298956
550114.3562349,40000.33588496279,52.099381217039365,24571.955212561286,31563.363064504454,-15047420426.461853,30920953.51973468
550114.4818306667,40000.344504741275,52.09936531731373,24571.96926655216,31563.36304739407,-15046803199.574665,31713798.476055473
550114.6074264334,40000.35312488665,52.09934941591049,24571.98332169448,31563.36302984835,-15046185972.334436,32506643.431941
550114.7330222,40000.361745398906,52.0993335128294,24571.997377988344,31563.363011867197,-15045568744.74114,33299488.387380324
550114.8586179666,40000.37036627802,52.09931760807027,24572.01143543386,31563.3629934505,-15044951516.794748,34092333.34236251
550114.9842137333,40000.37898752397,52.09930170163289,24572.025494031124,31563.362974598153,-15044334288.49523,34885178.2968766
550115.1098094999,40000.38760913673,52.09928579351705,24572.039553780243,31563.362955310044,-15043717059.842558,35678023.250911675
550115.2354052666,40000.39623111628,52.09926988372253,24572.053614681317,31563.36293558607,-15043099830.836702,36470868.20445677
