t,V,theta,vX,vY,X,Y
640538.41,40000.0,59.2999999999998,20421.71671646435,34394.090863874866,-15071492000.0,0.0
640538.5355957666,40000.00715201804,59.29998274558643,20421.730725531463,34394.090863626254,-15070979023.590528,863950.4421702719
640538.6611915333,40000.014304099015,59.299965489641025,20421.74473555222,34394.09086288037,-15070466046.829147,1727900.884328054
640538.7867873,40000.02145624285,59.29994823216346,20421.758746526662,34394.09086163712,-15069953069.715834,2591851.326460854
640538.9123830666,40000.02860844949,59.29993097315361,20421.77275845484,34394.0908598964,-15069440092.250566,3455801.7685561776
640539.0379788333,40000.035760718856,59.299913712611314,20421.786771336796,34394.090857658106,-15068927114.43332,4319752.210601526
640539.1635746,40000.04291305091,59.299896450536494,20421.800785172574,34394.09085492214,-15068414136.264067,5183702.652584402
640539.2891703666,40000.05006544557,59.299879186929005,20421.814799962223,34394.0908516884,-15067901157.742786,6047653.0944923
640539.4147661333,40000.05721790277,59.29986192178869,20421.828815705787,34394.09084795678,-15067388178.869455,6911603.536312718
640539.5403619,40000.06437042246,59.29984465511544,20421.84283240331,34394.09084372718,-15066875199.644049,7775553.978033147
640539.6659576667,40000.07152300456,59.29982738690912,20421.85685005483,34394.090838999495,-15066362220.066542,8639504.419641076
640539.7915534333,40000.07867564902,59.29981011716963,20421.870868660404,34394.090833773625,-15065849240.136911,9503454.861123992
640539.9171492,40000.085828355775,59.29979284589679,20421.88488822007,34394.09082804948,-15065336259.855135,10367405.302469384
640540.0427449667,40000.092981124755,59.299775573090514,20421.898908733874,34394.09082182694,-15064823279.221186,11231355.74366473
640540.1683407333,40000.1001339559,59.29975829875066,20421.912930201863,34394.09081510591,-15064310298.23504,12095306.184697513
640540.2939365,40000.107286849154,59.299741022877086,20421.92695262408,34394.0908078863,-15063797316.896677,12959256.625555206
640540.4195322667,40000.11443980444,59.29972374546969,20421.94097600057,34394.09080016799,-15063284335.206072,13823207.066225287
640540.5451280333,40000.1215928217,59.29970646652831,20421.955000331378,34394.09079195089,-15062771353.163197,14687157.506695226
640540.6707238,40000.128745900874,59.29968918605285,20421.969025616552,34394.0907832349,-15062258370.768032,15551107.946952492
640540.7963195667,40000.135899041896,59.29967190404315,20421.983051856136,34394.0907740199,-15061745388.020552,16415058.386984553
640540.9219153334,40000.1430522447,59.299654620499105,20421.997079050172,34394.09076430581,-15061232404.92073,17279008.826778874
640541.0475111,40000.15020550923,59.29963733542056,20422.011107198705,34394.09075409252,-15060719421.468548,18142959.266322915
640541.1731068667,40000.15735883541,59.299620048807434,20422.02513630178,34394.09074337992,-15060206437.663979,19006909.705604136
640541.2987026334,40000.16451222318,59.29960276065954,20422.039166359446,34394.090732167926,-15059693453.506998,19870860.144609995
640541.4242984,40000.17166567249,59.299585470976794,20422.053197371744,34394.09072045642,-15059180468.997581,20734810.58332795
640541.5498941666,40000.17881918325,59.29956817975904,20422.06722933872,34394.090708245305,-15058667484.135706,21598761.02174544
640541.6754899333,40000.185972755426,59.299550887006156,20422.08126226042,34394.09069553448,-15058154498.921349,22462711.459849924
640541.8010856999,40000.193126388935,59.29953359271803,20422.09529613689,34394.09068232385,-15057641513.354483,23326661.897628848
640541.9266814666,40000.20028008372,59.29951629689451,20422.10933096817,34394.0906686133,-15057128527.435085,24190612.335069653
640542.0522772333,40000.20743383972,59.29949899953548,20422.12336675431,34394.09065440274,-15056615541.163134,25054562.77215978
640542.177873,40000.214587656854,59.2994817006408,20422.137403495348,34394.090639692055,-15056102554.538603,25918513.20888667
640542.3034687666,40000.22174153508,59.29946440021036,20422.151441191334,34394.090624481156,-15055589567.561468,26782463.645237762
640542.4290645333,40000.22889547433,59.299447098244016,20422.165479842315,34394.09060876993,-15055076580.231707,27646414.081200484
640542.5546603,40000.23604947452,59.29942979474163,20422.17951944833,34394.090592558285,-15054563592.549295,28510364.516762268
640542.6802560666,40000.24320353561,59.2994124897031,20422.19356000943,34394.09057584611,-15054050604.514208,29374314.951910544
640542.8058518333,40000.250357657525,59.299395183128276,20422.207601525653,34394.09055863331,-15053537616.126421,30238265.386632737
640542.9314476,40000.25751184021,59.299377875017036,20422.22164399705,34394.09054091978,-15053024627.385912,31102215.82091627
640543.0570433666,40000.26466608359,59.29936056536924,20422.235687423665,34394.09052270542,-15052511638.292654,31966166.254748564
640543.1826391333,40000.2718203876,59.29934325418479,20422.24973180554,34394.09050399012,-15051998648.846626,32830116.68811704
640543.3082349,40000.27897475219,59.29932594146353,20422.263777142718,34394.090484773784,-15051485659.047804,33694067.121009104
640543.4338306667,40000.28612917728,59.299308627205335,20422.277823435248,34394.09046505631,-15050972668.896164,34558017.55341218
640543.5594264333,40000.29328366282,59.299291311410066,20422.291870683173,34394.090444837595,-15050459678.39168,35421967.98531367
640543.6850222,40000.30043820873,59.29927399407762,20422.305918886537,34394.09042411754,-15049946687.534328,36285918.41670099
640543.8106179667,40000.30759281497,59.29925667520785,20422.319968045387,34394.090402896036,-15049433696.324087,37149868.847561546
640543.9362137333,40000.31474748145,59.29923935480064,20422.334018159767,34394.09038117299,-15048920704.76093,38013819.27788274
640544.0618095,40000.321902208125,59.29922203285586,20422.34806922972,34394.09035894829,-15048407712.844833,38877769.707651965
640544.1874052667,40000.32905699492,59.299204709373356,20422.362121255293,34394.090336221845,-15047894720.575775,39741720.13685663
640544.3130010333,40000.33621184178,59.299187384353026,20422.37617423653,34394.09031299355,-15047381727.95373,40605670.56548412
640544.4385968,40000.34336674863,59.29917005779474,20422.390228173477,34394.090289263295,-15046868734.978672,41469620.99352183
640544.5641925667,40000.35052171541,59.299152729698356,20422.404283066175,34394.09026503098,-15046355741.65058,42333571.42095715
640544.6897883334,40000.35767674207,59.29913540006375,20422.41833891467,34394.09024029651,-15045842747.969429,43197521.84777747
640544.8153841,40000.36483182851,59.29911806889079,20422.43239571901,34394.09021505977,-15045329753.935194,44061472.27397017
640544.9409798667,40000.37198697471,59.29910073617936,20422.446453479235,34394.09018932067,-15044816759.547853,44925422.699522644
640545.0665756334,40000.37914218057,59.299083401929316,20422.460512195394,34394.0901630791,-15044303764.80738,45789373.12442226
640545.1921714,40000.38629744605,59.29906606614053,20422.47457186753,34394.09013633496,-15043790769.713755,46653323.5486564
640545.3177671666,40000.39345277107,59.299048728812885,20422.488632495686,34394.09010908815,-15043277774.266949,47517273.97221243
640545.4433629334,40000.40060815558,59.299031389946244,20422.502694079907,34394.09008133857,-15042764778.46694,48381224.39507773
640545.5689586999,40000.407763599505,59.29901404954048,20422.51675662024,34394.09005308611,-15042251782.313704,49245174.817239664
640545.6945544666,40000.41491910278,59.29899670759546,20422.530820116728,34394.090024330675,-15041738785.807215,50109125.23868561
640545.8201502333,40000.42207466535,59.298979364111055,20422.544884569415,34394.08999507216,-15041225788.947453,50973075.65940292
640545.945746,40000.42923028715,59.29896201908715,20422.558949978345,34394.08996531046,-15040712791.73439,51837026.07937897
640546.0713417666,40000.436385968096,59.298944672523604,20422.573016343566,34394.08993504547,-15040199794.168005,52700976.49860111
640546.1969375333,40000.44354170814,59.29892732442029,20422.58708366512,34394.08990427709,-15039686796.248272,53564926.9170567
640546.3225333,40000.45069750722,59.298909974777075,20422.60115194305,34394.08987300522,-15039173797.975168,54428877.33473309
640546.4481290666,40000.45785336527,59.29889262359384,20422.615221177402,34394.08984122976,-15038660799.348671,55292827.75161763
640546.5737248333,40000.46500928221,59.29887527087043,20422.629291368223,34394.0898089506,-15038147800.368752,56156778.167697676
640546.6993206,40000.472165258005,59.298857916606764,20422.643362515555,34394.089776167646,-15037634801.03539,57020728.58296057
640546.8249163666,40000.479321292565,59.29884056080266,20422.657434619443,34394.08974288079,-15037121801.348562,57884678.99739365
640546.9505121333,40000.486477385835,59.29882320345803,20422.671507679934,34394.08970908992,-15036608801.30824,58748629.41098427
640547.0761079,40000.49363353775,59.298805844572705,20422.68558169707,34394.08967479495,-15036095800.914406,59612579.823719755
640547.2017036667,40000.50078974824,59.2987884841466,20422.699656670895,34394.08963999577,-15035582800.167032,60476530.23558745
640547.3272994333,40000.50794601726,59.29877112217956,20422.713732601456,34394.08960469228,-15035069799.066093,61340480.64657468
640547.4528952,40000.51510234472,59.29875375867145,20422.727809488795,34394.089568884374,-15034556797.611567,62204431.05666879
640547.5784909667,40000.522258730576,59.29873639362218,20422.74188733296,34394.089532571954,-15034043795.803429,63068381.465857096
640547.7040867333,40000.52941517475,59.298719027031574,20422.75596613399,34394.08949575492,-15033530793.641657,63932331.874126926
640547.8296825,40000.53657167718,59.298701658899525,20422.770045891935,34394.089458433155,-15033017791.126225,64796282.281465605
640547.9552782667,40000.54372823781,59.29868428922592,20422.784126606835,34394.08942060657,-15032504788.257109,65660232.68786046
640548.0808740333,40000.55088485656,59.29866691801059,20422.798208278735,34394.08938227506,-15031991785.034286,66524183.0932988
640548.2064698,40000.558041533375,59.29864954525345,20422.81229090768,34394.089343438514,-15031478781.457731,67388133.49776794
640548.3320655667,40000.565198268196,59.29863217095433,20422.826374493718,34394.08930409684,-15030965777.52742,68252083.90125519
640548.4576613333,40000.57235506095,59.29861479511313,20422.84045903689,34394.089264249924,-15030452773.24333,69116034.30374788
640548.5832571,40000.579511911565,59.2985974177297,20422.85454453724,34394.089223897674,-15029939768.605434,69979984.70523329
640548.7088528667,40000.58666882,59.298580038803934,20422.868630994813,34394.089183039985,-15029426763.613712,70843935.10569875
640548.8344486334,40000.59382578617,59.29856265833569,20422.882718409655,34394.089141676755,-15028913758.268139,71707885.50513154
640548.9600444,40000.600982810014,59.298545276324845,20422.89680678181,34394.089099807876,-15028400752.56869,72571835.90351899
640549.0856401667,40000.60813989147,59.298527892771254,20422.91089611132,34394.089057433244,-15027887746.515339,73435786.30084835
640549.2112359334,40000.615297030476,59.298510507674806,20422.924986398233,34394.08901455277,-15027374740.108065,74299736.69710696
640549.3368316999,40000.62245422696,59.29849312103537,20422.939077642593,34394.08897116633,-15026861733.346844,75163687.09228209
640549.4624274666,40000.62961148087,59.298475732852815,20422.95316984444,34394.08892727384,-15026348726.231647,76027637.48636103
640549.5880232333,40000.63676879213,59.298458343127,20422.967263003822,34394.08888287519,-15025835718.762457,76891587.87933108
640549.7136189999,40000.64392616067,59.298440951857806,20422.981357120785,34394.088837970274,-15025322710.939247,77755538.27117951
640549.8392147666,40000.65108358644,59.298423559045105,20422.99545219537,34394.08879255899,-15024809702.761992,78619488.6618936
