t,V,theta,vX,vY,X,Y
324037.078,40000.0,34.10000000000003,33122.413384899766,22425.559782529686,-15071492000.0,0.0
324037.2035957667,40000.01160053811,34.09998874956769,33122.42739426346,22425.5597824208,-15070659992.843473,563311.0747631965
324037.3291915333,40000.023202236596,34.0999774976413,33122.44140517406,22425.55978209412,-15069827985.335024,1126622.149520923
324037.45478729997,40000.034805095616,34.09996624422055,33122.45541763182,22425.55978154956,-15068995977.474611,1689933.2242677072
324037.58038306667,40000.046409115326,34.09995498930518,33122.46943163698,22425.559780787054,-15068163969.2622,2253244.298998076
324037.7059788333,40000.0580142959,34.099943732894914,33122.483447189785,22425.559779806532,-15067331960.697748,2816555.373706553
324037.8315746,40000.0696206375,34.099932474989444,33122.497464290485,22425.559778607916,-15066499951.78122,3379866.448387662
324037.95717036666,40000.08122814028,34.0999212155885,33122.51148293933,22425.559777191138,-15065667942.512573,3943177.523035923
324038.0827661333,40000.092836804426,34.0999099546918,33122.52550313656,22425.559775556125,-15064835932.89177,4506488.597645855
324038.2083619,40000.10444663008,34.09989869229908,33122.53952488243,22425.559773702804,-15064003922.918772,5069799.672211976
324038.33395766665,40000.11605761743,34.09988742841003,33122.55354817718,22425.559771631102,-15063171912.59354,5633110.7467288
324038.45955343335,40000.127669766625,34.09987616302439,33122.56757302106,22425.55976934095,-15062339901.916037,6196421.821190842
324038.5851492,40000.13928307783,34.09986489614187,33122.58159941431,22425.559766832273,-15061507890.88622,6759732.895592613
324038.71074496664,40000.15089755121,34.09985362776218,33122.595627357194,22425.559764104997,-15060675879.504053,7323043.969928623
324038.83634073334,40000.16251318694,34.099842357885045,33122.60965684995,22425.559761159053,-15059843867.769497,7886355.0441933805
324038.9619365,40000.17412998518,34.09983108651018,33122.623687892825,22425.559757994368,-15059011855.682512,8449666.118381392
324039.0875322667,40000.18574794608,34.09981981363731,33122.63772048606,22425.55975461087,-15058179843.243061,9012977.19248716
324039.2131280333,40000.19736706983,34.09980853926615,33122.651754629915,22425.55975100848,-15057347830.451103,9576288.26650519
324039.33872379997,40000.20898735657,34.09979726339641,33122.66579032463,22425.559747187133,-15056515817.306599,10139599.34042998
324039.4643195667,40000.220608806485,34.099785986027804,33122.67982757046,22425.559743146754,-15055683803.809511,10702910.414256033
324039.5899153333,40000.23223141973,34.09977470716007,33122.693866367634,22425.55973888727,-15054851789.9598,11266221.487977842
324039.7155111,40000.24385519647,34.09976342679292,33122.707906716416,22425.55973440861,-15054019775.757427,11829532.561589904
324039.84110686666,40000.255480136875,34.09975214492606,33122.72194861705,22425.5597297107,-15053187761.202354,12392843.635086713
324039.9667026333,40000.2671062411,34.099740861559205,33122.735992069785,22425.55972479347,-15052355746.294538,12956154.70846276
324040.0922984,40000.27873350933,34.099729576692084,33122.75003707487,22425.559719656845,-15051523731.033945,13519465.781712536
324040.21789416665,40000.29036194171,34.099718290324404,33122.764083632544,22425.55971430075,-15050691715.420534,14082776.854830528
324040.34348993335,40000.301991538414,34.09970700245589,33122.77813174306,22425.559708725115,-15049859699.454266,14646087.927811224
324040.4690857,40000.313622299596,34.099695713086255,33122.79218140667,22425.55970292987,-15049027683.1351,15209399.000649106
324040.59468146664,40000.32525422545,34.099684422215226,33122.806232623625,22425.559696914937,-15048195666.463,15772710.073338658
324040.72027723334,40000.33688731611,34.0996731298425,33122.82028539416,22425.559690680246,-15047363649.437925,16336021.145874359
324040.845873,40000.348521571745,34.09966183596781,33122.83433971853,22425.559684225722,-15046531632.059837,16899332.218250692
324040.9714687667,40000.360156992545,34.099650540590865,33122.848395596986,22425.559677551297,-15045699614.328697,17462643.29046213
324041.0970645333,40000.37179357865,34.09963924371139,33122.862453029775,22425.559670656894,-15044867596.244465,18025954.36250315
324041.2226603,40000.38343133023,34.09962794532908,33122.87651201714,22425.55966354244,-15044035577.807102,18589265.434368223
324041.3482560667,40000.39507024746,34.09961664544368,33122.89057255933,22425.559656207864,-15043203559.016571,19152576.506051823
324041.4738518333,40000.4067103305,34.09960534405489,33122.904634656596,22425.559648653092,-15042371539.872833,19715887.577548422
324041.5994476,40000.418351579516,34.099594041162426,33122.91869830919,22425.55964087805,-15041539520.375845,20279198.648852482
324041.72504336666,40000.42999399467,34.099582736766,33122.93276351736,22425.55963288267,-15040707500.525572,20842509.719958477
324041.8506391333,40000.44163757613,34.09957143086536,33122.94683028135,22425.559624666872,-15039875480.321974,21405820.790860865
324041.9762349,40000.45328232406,34.099560123460186,33122.96089860141,22425.55961623059,-15039043459.76501,21969131.86155411
324042.10183066665,40000.46492823864,34.0995488145502,33122.974968477785,22425.559607573745,-15038211438.854643,22532442.93203267
324042.22742643335,40000.47657532001,34.09953750413513,33122.98903991073,22425.55959869627,-15037379417.590832,23095754.00229101
324042.3530222,40000.488223568354,34.09952619221468,33123.00311290049,22425.559589598088,-15036547395.97354,23659065.072323583
324042.47861796664,40000.499872983826,34.09951487878858,33123.017187447316,22425.559580279125,-15035715374.002726,24222376.142124847
324042.60421373334,40000.5115235666,34.099503563856544,33123.03126355146,22425.55957073931,-15034883351.67835,24785687.21168925
324042.7298095,40000.52317531685,34.09949224741827,33123.04534121316,22425.55956097857,-15034051329.000378,25348998.28101125
324042.8554052667,40000.534828234726,34.099480929473486,33123.05942043268,22425.55955099683,-15033219305.968765,25912309.350085292
324042.98100103333,40000.546482320395,34.099469610021906,33123.07350121025,22425.559540794016,-15032387282.583477,26475620.418905824
324043.1065968,40000.55813757402,34.09945828906325,33123.087583546134,22425.559530370057,-15031555258.84447,27038931.487467293
324043.2321925667,40000.56979399578,34.09944696659722,33123.10166744058,22425.55951972488,-15030723234.751707,27602242.555764142
324043.3577883333,40000.581451585844,34.09943564262355,33123.11575289383,22425.559508858412,-15029891210.30515,28165553.623790815
324043.4833841,40000.59311034436,34.09942431714194,33123.129839906134,22425.559497770577,-15029059185.504757,28728864.691541754
324043.60897986667,40000.60477027149,34.099412990152125,33123.143928477744,22425.559486461305,-15028227160.35049,29292175.759011395
324043.7345756333,40000.61643136743,34.09940166165379,33123.15801860891,22425.55947493052,-15027395134.842314,29855486.826194175
324043.8601714,40000.628093632324,34.09939033164667,33123.172110299885,22425.55946317815,-15026563108.980185,30418797.893084526
324043.98576716665,40000.63975706634,34.09937900013048,33123.18620355091,22425.55945120412,-15025731082.764063,30982108.959676884
324044.1113629333,40000.65142166964,34.09936766710494,33123.20029836224,22425.55943900836,-15024899056.193913,31545420.025965683
324044.2369587,40000.66308744239,34.09935633256974,33123.21439473412,22425.559426590793,-15024067029.269693,32108731.09194535
324044.36255446664,40000.674754384774,34.09934499652463,33123.2284926668,22425.55941395135,-15023235001.991365,32672042.157610312
324044.48815023334,40000.68642249695,34.09933365896929,33123.24259216053,22425.55940108995,-15022402974.358889,33235353.222954992
324044.613746,40000.698091779064,34.09932231990346,33123.25669321557,22425.559388006528,-15021570946.372225,33798664.28797381
324044.73934176663,40000.709762231316,34.099310979326845,33123.270795832155,22425.559374701006,-15020738918.031336,34361975.35266121
324044.86493753333,40000.72143385385,34.09929963723916,33123.28490001054,22425.55936117331,-15019906889.33618,34925286.41701158
324044.9905333,40000.733106646825,34.09928829364012,33123.299005750974,22425.55934742337,-15019074860.28672,35488597.48101936
324045.1161290667,40000.744780610425,34.09927694852945,33123.31311305371,22425.559333451107,-15018242830.882917,36051908.54467896
324045.2417248333,40000.7564557448,34.09926560190684,33123.32722191899,22425.559319256452,-15017410801.124731,36615219.6079848
324045.36732059997,40000.768132050136,34.09925425377202,33123.341332347074,22425.559304839328,-15016578771.012121,37178530.67093129
324045.49291636667,40000.77980952659,34.09924290412471,33123.35544433821,22425.55929019966,-15015746740.545052,37741841.73351283
324045.6185121333,40000.79148817432,34.0992315529646,33123.36955789264,22425.559275337382,-15014914709.72348,38305152.79572385
324045.7441079,40000.80316799351,34.099220200291434,33123.38367301063,22425.559260252412,-15014082678.547367,38868463.85755874
324045.86970366666,40000.814848984315,34.0992088461049,33123.39778969241,22425.55924494468,-15013250647.016676,39431774.91901191
